Annual drug cost,Treated population,Gross drug cost,Healthcare savings,Net budget impact
13152.945,22297707.855105825,293280525044.2749,53692880515.094826,239587644529.18008
15783.534,22297707.855105825,351936630053.1298,53692880515.094826,298243749538.035
17537.26,22297707.855105825,391040700059.03314,53692880515.094826,337347819543.9383
19290.986,22297707.855105825,430144770064.9365,53692880515.094826,376451889549.8417
21921.574999999997,22297707.855105825,488800875073.7914,53692880515.094826,435107994558.69653
