Year 5 uptake,Treated population,Gross drug cost,Healthcare savings,Net budget impact
0.1,8919083.14204233,156416280023.61325,16598413727.340775,139817866296.27246
0.15,13378624.713063495,234624420035.4199,24897620591.011166,209726799444.40872
0.2,17838166.28408466,312832560047.2265,33196827454.68155,279635732592.5449
0.25,22297707.855105825,391040700059.03314,41496034318.35194,349544665740.6812
0.3,26757249.42612699,469248840070.8398,49795241182.02233,419453598888.81744
