Healthcare savings per treated patient,Treated population,Gross drug cost,Healthcare savings,Net budget impact
1806.0,22297707.855105825,391040700059.03314,40269660386.32112,350771039672.71204
2167.2000000000003,22297707.855105825,391040700059.03314,48323592463.58535,342717107595.4478
2408.0,22297707.855105825,391040700059.03314,53692880515.094826,337347819543.9383
2648.8,22297707.855105825,391040700059.03314,59062168566.60431,331978531492.42883
3010.0,22297707.855105825,391040700059.03314,67116100643.86853,323924599415.1646
