Country,Adult population (18+),Obesity prevalence (%),Eligible population,Annual drug cost per patient,Year 1 net budget impact,Year 5 net budget impact
UK,55022253.0,29.905550999999992,3290941.0,2500.0,394912800.0,1974564000.0
USA,269763500.0,33.06260055374031,89190831.4204233,17537.26,67469563908.78766,337347819543.9383
